position_name,company,address,salary,time
网络工程师-北京-15000,优信集团,北京-朝阳区,1-1.5万/月,12-21
资深后端开发工程师,北京瞰微智视科技有限公司,北京-朝阳区,2-5万/月,12-21
运维工程师,优讯时代（北京）网络技术有限公司,北京-海淀区,4-6千/月,12-21
C++/QT工程师,北京首贝科技发展有限公司,北京-昌平区,1-2万/月,12-21
(Siemens Ltd. China) 高级Linux 系统工程师(74250),西门子（中国）有限公司Siemens L...,北京,,12-21
（CT）RDA Expert Research Scientist for Perception (Beijing)（80353）,西门子（中国）有限公司 西门子中...,北京,,12-21
大数据java开发,北京聚源锐思数据科技有限公司,北京-海淀区,1.5-2万/月,12-21
（MO）Technologies -  Data Scientist - Beijing（73507）,西门子（中国）有限公司 交通集团...,北京,,12-21
(DF&PD S) 市场数据分析师 北京CDC Data Analyst(84742),西门子(中国)有限公司 工业销售集...,北京,,12-21
ASIC设计工程师,北京赛方德驰科技有限公司,北京,1.5-4万/月,12-21
C/C++软件开发工程师-GIS方向,北京佳明航电科技有限公司,北京-朝阳区,1-1.5万/月,12-21
高级软件工程师（C语言）,深圳市科思科技股份有限公司北京分...,北京-朝阳区,1.5-3万/月,12-21
自动化测试工程师,北京光宇在线科技有限责任公司,北京,1.3-2万/月,12-21
信用花风控经理,360金融,北京-朝阳区,3-5万/月,12-21
数据挖掘工程师,同程艺龙,北京-朝阳区,2.5-3.5万/月,12-21
"IC 设计工程师, IC 设计验证工程师",创意电子(南京)有限公司,异地招聘,1.2-2.4万/月,12-21
数据库管理岗,北京国研网信息有限公司,北京-东城区,1.5-3万/月,12-21
大数据架构师,北京嘉和无限科技有限公司,北京-海淀区,1.5-3万/月,12-21
大数据开发工程师,货车帮,北京-朝阳区,2.5-3万/月,12-21
大数据Teamleader/高级工程师-HA,北京荣之联科技股份有限公司,北京-朝阳区,2-4万/月,12-21
Web前端开发工程师,北京明略软件系统有限公司,北京-海淀区,1.3-2.6万/月,12-21
